Artista,Cancion,Lyrics,Etiqueta,Expresion
sodastereo,En Remolimos,"

Dejame vivir este sueño
El mejor que he tenido

Una flor, una flor, otra flor
Un maestro, una causa, un efecto

¿Quién sabra el valor de tus deseos?
¿Quién sabra?

Gira el sol, gira el mundo, gira Dios
Energia, misteriosa, resplandor

Al soltar mi cuerpo en remolinos, resplandor
Otra flor.

Paraiso, zona pura, perfección

Florecer mirándote a los ojos, perfección
Florecer mirándote a los ojos, perfección
Florecer los dos, florecer
Florecer los dos, florecer
Florecer.
",0,
juangabriel,No Apaguen La Luz,"

No apaguen la luz
Más allá del cielo
De la luna llena
De esos dos luceros
Más allá del sol

Más allá del todo
De ese mar de estrellas
De esos seis planetas
De ahí vengo yo

Entre Mercurio, Urano y Plutón
Yo tenía un planeta y él era mi hogar
Pero una guerra que se desato
Apago la luz

Alrededor de Saturno quedo
Mi planeta Tierra en pedazos esta
Gire y gire en torno de su alrededor
Ese fue su fin

Pido que ya
No apaguen la luz
Vengan a Xel–ha
Vengan a Tulúm
Ya no apaguen la luz
Vengan a Xcaret
Vengan a Cancún

Unos se fueron a Cetus y Orión
Otros se marcharon a Volan y Aran
A mi me trajeron a tierra de sol
Y ahora estoy aquí
",0,
anagabriel,Hechizo,"

Fue como hechizo lo que paso
un amor veló mi corazón
no pude ponerle condición
pero si acaso no soy igual
no piensen mal.

Fue como magia su suavidad
el logró borrar mi soledad
ya no me pude resistir
pero en verdad que me cautivo
su forma de ser.

Si fue hechizo o no fue hechizo
eso que me importa ya
pues mis ojos son sus ojos
y mi ser solo su ser.

Si fue hechizo o no fue hechizo
ya no me preocupa mas
soy feliz entre sus brazos
eso es una realidad.
",0,
anagabriel,Solamente Una Vez,"

Solamente una vez 
ame en la vida 
Solamente una vez 
y nada mas 

Una vez nada mas en mi huerto 
brillo la esperanza, 
la esperanza que alumbra 
el camino de mi soledad 

Una vez nada mas 
se entrega el alma 
con la dulce y total renunciacion 

y cuando ese milagro realiza 
el prodigio de amarse 
hay campanas de fiesta que cantan 
en el corazón 
",0,
alejandrosanz,Corazn Parto,"

Tiritas pa este corazón partio.
Tiri-ti-tando de frío.
Tiritas pa este corazón partio.
Pa este corazón.

Ya lo ves, que no hay dos sin tres,
Que la vida va y viene y que no se detiene
Y, que sé? yo,
Pero miénteme aunque sea, dime que algo queda
Entre nosotros dos, que en tu habitación
Nunca sale el sol, ni existe el tiempo,
Ni el dolor.

Llévame, si quieres, a perder
A ningún destino, sin ningún porque.

Ya lo sé, que corazón que no ve
Es corazón que no siente
O corazón que te miente, amor.
Pero, sabes que en lo mas profundo de mi alma
Sigue aquel dolor por creer en ti.
¿Que fue de la ilusión y de lo bello que es vivir?

¿Para que me curaste cuando estaba herio
Si hoy me dejas de nuevo el corazón partio?

¿Quién me va a entregar sus emociones?
¿Quién me va a pedir que nunca me abandone?
¿Quién me tapara esta noche si hace frío?
¿Quién me va a curar el corazón partio?
¿Quién llenara de primaveras este enero?
¿Y bajara la luna para que juguemos?
Dime, si tu te vas, dime, cariño mío,
¿Quién me va a curar el corazón partio?

Dar solamente aquello que te sobra
Nunca fue compartir, sino dar limosna, amor.
Si no lo sabes tu, te lo digo yo.
Después de la tormenta siempre llega la calma,
Pero, se que despues de ti,
Después de ti no hay nada.
",0,
camilagallardo,Toditas Por Ti,"

Yo te ví, yo te ame
Yo te odie y te deje
¿Cuántas veces después
Te arrastré hasta mis pies?
Encontré el perdón que no pude negarte
Es que amarte

Es subir, es bajar
Es romperse, es sanar
Es mirarse a los ojos después de gritar
Es comernos a besos, llorar a los cielos y reír en el infierno

Sí, me tienes aquí
Con mil mariposas y monstruos, dragones saliendo de mi
Queriendo escribir canciones idiotas, románticas, cursis
Toditas por ti

Ya voy, como loca rezando por ti
En lo absurdo me río
Hacerte feliz
Un suspiro y me ahogo
Solo un estornudo
Y más de ti enamoro
",0,
monlaferte,No Soy Para Ti,"

¿Cuánto amor desaparecerá?
¿Cuánto tiempo más tendremos que llorar?
Mejor que acabe aquí, mejor dejarte ir
Si nos queremos tanto, ¿para qué sufrir?

Si eras tan feliz, tan feliz
Ya no pierdas tiempo, da vuelta atrás
No soy para ti, no soy para ti
No seré siempre joven, mi amor

Así es mejor

Sabes bien que te lo advertí
¿Cuántas veces más tendremos que morir?
Debemos controlar la sensibilidad
Tienes tanta vida, ¿para qué llorar?

Qué tonta manera de amar
Y yo que he vivido tanto
En serie desaparecer
Por favor, no más, ya no

Qué tonta manera de amar
El miedo se vuelve magnético
No vale la pena apostar
Por favor, por favor

Si eras tan feliz, tan feliz
Ya no pierdas tiempo, da vuelta atrás
No soy para ti, no soy para ti
Sé que así es mejor
No seré siempre joven, mi amor

Así es mejor

",0,
cafetacuba,El Balcn,"

Tu y yo en el balcon
que asoma en los plantíos de plátano
los patrones son han muerto, y tú
sigues trapeando el piso de ajedrez
ven aca, que desde aqui se logran ver
todas las tierras que ahora nuestras son
Y el sambo heredero será
pues de un indio y una negra, eso da
",0,
juangabriel,Te Lo Pido Por Favor,"

Donde estés hoy y siempre 
yo te quiero conmigo, 
necesito cuidado, 
necesito de tí. 

Si me voy, donde valla, 
yo te llevo conmigo, 
no me dejes ir sólo, 
necesito de tí. 

Tú me sabes bien cuidar, 
tú me sabes bien guiar, 
todo lo haces muy bien tú 
ser muy buena es tu virtud, 

Como te puedo pagar 
todo lo que haces por mí, 
todo lo felíz que soy 
todo este inmenso amor, 
solamente con mi vida 
pues ten mi vida te la doy, 
pero no me dejes nunca, 
nunca, nunca, 
te lo pido por favor
",0,
antonioaguilar,La Toma De Zacatecas,"

Era el 23 de junio
Hablo con los más presentes
Fue tomado Zacatecas
Por las tropas insurgentes

Ya tenían algunos días
Que se estaban agarrando
Cuando llego, Pancho Villa
A ver que estaba pasando

Las ordenes que dio Villa
A todos en formación
Para empezar el combate
Al disparo de un cañón

¡Qué viva mi general, Francisco Villa!

Al disparo de un cañón
Como lo tenían de acuerdo
Empezó duro el combate
Lado derecho e izquierdo

Le toco atacar La Bufa
A Villa, Urbina y Natera
Por allí tenían que verse
Lo bueno de su bandera

Las calles de Zacatecas
De muerto entapizada
Lo mismo estaban los cerros
Por el fuego de granada

Desde Guadalupe, Cerro El Grillo
Cerro de La Bufa, todos lados
¡Qué viva mi general Villa!

Ay, hermoso Zacatecas
Mira cómo te han dejado
La causa fue el viejo Huerta
Y tanto rico allegado

Ahora sí, borracho Huerta
Harás las patas más chuecas
Al saber que Pancho Villa
Ha tomado Zacatecas
",0,
arcangel,Manifistate Bailando,"

Año 2070
Andromeda
Praaa!

Si quieres bailar entregate
En medio e' la pista manifiestate
Bailando oh oh
Esta noche toi' pa' ti mami pidete
Ya bailamo' mucho ahora complaceme
Bellaqueando oh oh

Si si si mami asi es que se enciende
10 tu eres gringa y no me entiendes
Hey! A mi me dicen Austin la Maravilla
Mami, otros me llaman Alca pon ahi
Mami, no te envuelvas con loquitos por ahí
Por ahi, que no soy el unico ni tampoco soy el primero
Y voy a que te gusta
Te Juqueo
Y poco a poco me adueño de tu trasero

Paremo' de hablar y solo dime!

Mejor, ven con nosotros hacia el V.I.P
Allí podríamos hablar de ti
Mami, alli la puedes pasar muy bien baby!

Se que te han dicho cosas de mi

Las llaves de mi Apartamento
Esta noche me siento contento
Estoy en el piso 7 numero 700
El nene brilla no es ningun invento
Te traje hasta aqui para que veas que no miento
Usa la terraza, siente el viento
Y hagamos el amor en reclinables asientos
Lento, dale tiempo al tiempo
Que tu misma te mueves en el movimiento
(Lentoooo...)
Me mato violento
Tengo billetes de 100
Y si existieran de a 500

Esteee....
Habla claro porque...
Ando con Luian
Albert el Zombi
Ando con un monton de gente
Y entonces las amigas tuyas no contestan
La que se tiene que lucir eres tu
(Motivate)
Asi que motivate
Un strictest te quedaria cabron
(Muy cabron)
Pa' nosotros
Timelaze
Que tu crees?
Los metalicoz
Te gustaria pasar la noche con Optimus
Arca!
Ese soy yo!
",1,"Y voy a que te gusta
Te Juqueo
Y poco a poco me adueño de tu trasero

"
anuelaa,Contra El Mundo,"

[Ozuna:]
Woh-oh-oh-oh-oh
Jaja
Jowny

En esta vida (En esta vida)
Se ama y se sufre (Se ama y se sufre)
Ven, no tengas miedo (Woh-oh)
No lo dejes que te curen (Curen)
Nuestras ganas se deben mezclar
Incluso dejar de imaginar (Imaginar)
Lo que será, a mí me da igual

Si somos tú y yo contra el mundo (Contra el mundo)
Que se pudran todo' lo’ que opinen (Todo lo' que opinen)
Si somos tú y yo contra el mundo (Contra el mundo)
Ignoremos todo lo que dicen (Lo que dicen)


Ah
Que se mueran de envidia los que no creen en nosotro'
Pa’ siempre mía, lo dicen lo' ojo' en tu rostro
Mile' de opcione', eran mejor que yo todo' los otro' (¿Ah?)
Agua y aceite, la reina se enamoró de un monstruo (Jeje)
Inseparable' como la muerte y la vida
Tú ere’ la que me levanta en toda’ mis caída' (Toda’ mis caída')
Sé que soy loco y a vece' te tengo confundida
Pero nuestra paz es más real que la de la' Nacione’ Unida' (Real hasta la muerte)
Tú ere' mi principio y mi final (Mi final)
Si llego a viejo, tú ere' la que a mí me va a cuidar (Me va a cuidar)
Tu' imperfeccione' son perfecta', no te sienta' mal (No te sienta' mal)
Te ve' hermosa hasta cuando empieza' a llorar (Brr)
Y cuando me muera, mi hijo va a ser tu consuelo
Y cuando quiera' volver a verme, solo mira al cielo (Amén)
Recuerda que hay ángele' que no' cuidan
Y ese vo'a ser yo el día que me toque mi partida
Tú ere' mis palabra' cuando yo no tengo nada que decir
Tú ere' la orilla cuando estoy perdío' en el mar (En el mar)
Tú ere' lo único que me gusta de mí (Me gusta de mí)
Y en este mundo de mentira, tú ere' lo real

",0,
camila,Me Bast,"
Esta vez no puedo continuar
sin tenerte junto a mi
cada vez que te pienso
siento ganas de que estes aqui

todavia no puedo olvidar
el momento en que te vi
sin saber que pensar
queria acercarme

y sin poderte hablar
y te senti y hasta hoy no he podido escapar

y me basto tan poco para quererte tanto
y sucedio que poco a poco me fui entregando

como saber, como entender, lo que senti
supe que no eras para mi
pero basto un segundo para entrar en tu mundo

todavia no puedo olvidar
el momento en que te vi
cada vez que te pienso
siento ganas de que estes aqui

nada me costaba intentar
te tenia frente a mi
si esto no puedo ser
fue por destino

como saber como entender lo que senti
supe que no eras para mi
pero basto un segundo para entrar en tu mundo
sin quererte amar me perdi
y hasta hoy no he podido escapar
",0,
badbunny,MIA 708486,"

Todos están pendiente a ti (woo)
Pero tú puesta pa' mí (aja)
Haciendo que me odien más (yeh-yeh-yeh)

Porque todos te quieren probar (uh)
Lo que no saben es que no te dejas llevar de cualquiera
Y todos te quieren probar (hah)
Lo que no saben es que hoy yo te voy a buscar (yeh-yeh)

Dile que tú eres mía-mía
Tú sabes que eres mía-mía
Tú misma lo decías
Cuando yo te lo hacía (yeh)

Bebé, yo soy fan de tu caminar (woo)
Te doy todo lo mío, hasta mi respirar (yeh)
Contigo veo todo como en espiral (yeh)
Quiero tirarnos fotos y que se hagan viral (hah)
Tus ojos me concentran como Aderall (woo)
Contigo me sube el overall (yeh)
Te toco y hasta el mundo deja de girar (woo-woo)
A nosotros ni la muerte nos va a separar
Bebé, yo soy tuyo na' más (na' más)
Diles que conmigo te vas (woo)
Que dejen de tirarte (rrr)
Que a ti nadie va a tocarte

Yo soy tu Romeo, pero no Santo (no)
A estos bobos con la forty los espanto (plo-plo)
Muchas me quieren desde que yo canto
Pero yo soy tuyo no más (woo)

Dile que tú eres mía desde la high (desde la high, yeh)
El yerno favorito de tu mai (de tu mai)
El capo que tenía to' las Jordans y las Nike (y las Nike, woo-woo)
Dile a estos bobos que dejen de darte like (de darte like)
Quiero está noche entera
Pa' recordar los tiempos en la escalera (la escalera)
Dile que yo no soy cualquiera
Yo soy tu primero, tú eres mi primera (yah-yah-yah)

",1,"Dile que tú eres mía-mía
Tú sabes que eres mía-mía
Tú misma lo decías
Cuando yo te lo hacía (yeh)

Dile que tú eres mía desde la high (desde la high, yeh)"
alejandrosanz,Mi Soledad Y Yo,"

Cómo estás, qué tal te va
Allí es de día o es de noche
Es bonita esa ciudad
Para ir de vacaciones
Y el hotel era verdad
Que es tan romántico y lujoso
Como en la publicidad
Con esas playas de las fotos

En Madrid está lloviendo
Y todo sigue como siempre
Solamente que no estás
Y el tiempo pasa lentamente
Estoy loco por que vuelvas
Hace tanto que te fuiste
No te irás a enamorar allí
Lo prometiste

Por favor, cuando puedas llámame
Que mi soledad y yo
Sin ti no nos llevamos bien
Me paso el día planeando
Nuestro encuentro imaginario

Te besaré 
Como nadie en este mundo te besó
Te amaré 
Con el cuerpo y con la mente 
Con la piel y el corazón
Vuelve pronto, te esperamos
Mi soledad y yo

Ya no te entretengo más
Sé que te está esperando alguien
Dile que debe hablar más bajo
Al que ha dicho que no tardes
Sólo un último favor 
Te pido antes de colgar
Dile que te cuide mucho
Me prometes que lo harás

Y ahora cálmate 
Que no note que has llorado
Disimula que estás bien 
Como yo lo hago
Y mientras seguiré pensando
En nuestro encuentro imaginario

Como nadie en este mundo te besó
Te amaré 
Con la piel y el corazón
Mi soledad y yo
",0,
arcangel,Vacilar Y Joder,"

Dicen que andas por ahí preguntando por mi
Aléjate con tu mala vibra
Si solo supieras lo bien que me sentí
El día que me deshice de ti
Te dije hace tiempo no este pendiente a mi
Ya yo estoy en otra moda
Si, me crecí desde que decidí, solo pensar en mi

Aquí no hay mal de amores, no
Todo eso hace tiempo acabo
Solamente quiero bebe, vacilar y joder

Deja de estar preguntando
Donde estoy y que con quien ando
Hablando claro, no es problema tuyo
Yo me la estoy viviendo
Abre los ojos al fin estoy entendiendo
Mejor estar a solas, que tener a alguien jodiendo
Quiero vivir, salir a janguear, no quiero dormir
Pa’ eso habrá tiempo de mas, cuando me toque morir
Y no es mi hora, así que por ahora a calentar motores
Que estos momentos así son los mejores
Hice un pacto con mi mismo, la vida es corta
Y como yo la viva, a nadie le importa
Tome el camino que yo hice
No me arrepiento de lo que hago y hice
Esta noche nadie se comporta porque

Aquí no hay mal de amores, no, nada que ver
Hablame de prender, vacilar y joder
De aqui pa’ alla, de hotel en hotel
Viendo como sale el sol, cuando llege el amanecer
Pa’ mi vacila, que yo soy joven, tu eres joven
Y ando con una nota que no tocaba ni Bethoveen (Ya!)
Tu me dices si seguimos o paramos
Si seguimos bebiendo y doble nos emborrachamos
Con gusto a tu casa nos vamos
Con gusto sin susto cariños nos damos
Con gusto prendemos y nos arrebatamos
Juntos de mal de amor, con gusto nos olvidamos (Yes!)

Yes!
La Marash
Nuevamente es el gordito que hace
Que todos estos flacos bonitos luzcan mal
Geniaco
Jajajaja
Arcangel Pa
La Mutación Geniaco
Genio La Mutación
Yes Sr.
Super Yei
Super Yei
Johnny Guez
Flow Factory
Dj Luian
",0,
cafetacuba,El Catrn,"

Caminando por la calle va el catrin
estampa de loteria gritada
en juego, traje a rayas, su baston
y su bombin ese roto le gritan
a Don Ferruco
Por Palacio y Catedral se dirige
hacia al Alameda Central

Cita a ciegas, un clavel en el ojal
sentados frente a una estatua
pornografica 
mon cherie ca va et toi parlez vous francais

Y hace tanto que eso fue
Y despues la solucion
el cafe en Café Tacuba
es mejor.
",0,
anuelaa,A Tu Lado Soy Feliz,"

You da one that I dream about all day
You da one that I think about always
You are the one, so I make sure I'll behave
My love is your love, your love is my love.

Tu amor me salió caro como un rifle que mata
Cuando la muevo en la luna es que se me arrebata
Le gusta la marihuana, bailar reguetón
No le importa si la ven cuando está quemando un blont
Fanática a Lil Wayne, fanática de Don, Anuel la doble A
Y la A de ambición

A tu brazo me pongo a correr, corre caminos
Haciendo la 69 yo vine, ella se vino
Los ojos colorados chiquititos como un chino.

Se toca y se pone Bellaca como Rihanna
Fanática de Bob Marley ella fuma marihauna
Lo mío pal dinero y lo mío pa la fama
Sólido como el brazón cuando esta diabla llama...

You da one that I dream about all day
You da one that I think about always
You are the one, so I make sure I'll behave
My love is your love, your love is mine.

Como yo en la VIP y tu eres la que hay di esray beyonce (eeh)

Ella tiene dueño pero tú eres mía
Recuerdo como una estrella porno te venías
Tengo otra vacía ma' y es la perdida
Y que no hay problema no llamar la policía
Tengo una flor que va hacer que tu te rías
Andamos patrullando eso es para la CIA.

La pongo como quiero y la pongo a moverse
Ella le huye al amor, no quiere enamorarse
Me hace el amor como si hubiera salido preso
Me dice tu eres un perro le digo tu eres mi guacal

Hacemos la pirámide y se mueve como una culebra
Se lo pongo y hago magia abrakadabra
Yo sé que hablo mierda pero son labias
Que tu amiga te tira mala a ti la que sos una puta
Y que yo no soy un cabrón billetes 100
Vi la calle prendo y te lo paso como Chris Poll
Que la mafia hago su flow Brasoul
Que fumaste a los 15 y no se ha quedado vecto
Que quiero hacer dinero como Tupac y Causol
Que tengo un pana muerto y pana en la federal
De kilo un poco fuego lo acabo de improvisar
Tu sabes que te quiero no me puedo enamorar
No way es invicto no nos van a separar jeje...

",1,"Ella tiene dueño pero tú eres mía

Que tu amiga te tira mala a ti la que sos una puta
Y que yo no soy un cabrón billetes 100"
camila,Este Momento,"

Tantas cosas que tenemos que desaprender
Comenzar de nuevo, decidir creer
Tantas guerras, fui buscando paz
Y lo encuentro en lo que tú me das
Hoy tus brazos me sostienen antes de caer

Si antes de llegar a ti
Me tuve que perder y cuantas vueltas di
A punto de volverme loco
Me sanaste poco a poco
Tu voz, apaga mi silencio y mi contradicción
Y por favor, no des ni un paso afuera de mi corazón
Que por ti, la eternidad se ha vuelto este momento

Hay demonios que al fin pude desaparecer
Porque vi en tus ojos lo que quiero ser
Si te tengo no hace falta más
Ya no hay nada que buscar atrás
Eres el presente y donde quiero estar

Si tuve que pisar el bando
Y al infierno ir, fue para aprender
Me enseñaste la salida, regresandome la vida

Y lo que buscaba afuera lo he encontrado dentro
Y por ti la eternidad se ha vuelto este momento
",0,
monlaferte,El Beso,"

Cuando, cuando me despierto
Solo quiero un beso, oh-oh-oh-oh
Uno, uno de esos
Uno mojado, oh-oh-uh-oh

Un beso lento, un beso tierno
Un beso violento en el pavimento
Uno en la costilla, uno enrreda'o
Uno despacito, uno arrebata'o
Un beso mordido, uno chupetea'o
Un beso encendido, un beso gasta'o
Uno que me ahogue, uno que me rompa
Un beso en la frente, un beso en la boca

Dame, dame un último beso
Uno que pueda estimularme y me haga bien
Dámelo como si aún me amaras
Dime pa' qué tanta pregunta
Mejor tu boca en la mía, bien juntas
Aprovecha el vaivén
Solo bésame bien

Cuando, cuando me despierto
Solo quiero un beso
La despedida tiene que valer la pena
Quiero que sea un contacto a lo mañoso
Estoy planeando que tu lengua toque fondo, mis sentimientos

Nadie sabe lo que mi cara disfraza
Y este tonto corazón
Que llora (Que llora)
Que llora (Que llora)
Que llora (Que llora)
Que llora

Bésame
",0,
alejandrosanz,Hay Un Universo De Pequeas Cosas,"

¿Por qué hay estrellas que brillan pero no se ven?
Y existe gente que nunca llego a conocer
Aunque los pueda ver
Son los azules heridos del amanecer
Se desprenden del cielo, arañándome
Arañándote, arañándote

Hay un universo de pequeñas cosas
Que sólo se despiertan cuando tú las nombras
Todo lo que es bello está esperando una mirada
Tengo una caricia que sin ti se me derrama

Hay un universo hecho de pequeñas cosas
Que vuelan sobre tu cabeza si las soplas
Hay atardeceres que no acaban de ponerse
Hay un mar entero resumiéndose en tu boca

Y yo te juro, vida mía, que lo surqué
Pregúntale a tu piel
Ya no te acuerdas, compañerita mía
Cuando te hablé de mi universo, ¿ves?
No me creías, ¿no?
Que existen los rincones 
Donde el amor esconde

Todo un universo de pequeñas cosas
En él me está esperando ella
De una nube a otra
No hay una promesa que resista aquellas dudas
No hay una caricia que le pueda a aquella luna

Y yo te juro, vida mía, que desde ayer
La luna está, está en tu piel
Yo te lo juro, vida mía, te encontraré
Junto al espacio aquel
Tú y yo y el cielo, el cielo
Que existen los rincones
Donde el amor esconde

Porque hay estrellas que brillan por ahí, lo sé
Y existen sitios que nunca pude conocer
Por eso ven a ver, conmigo el sol aquel
De plata salpicándonos los mares
De plata salpicándonos 
Los mares de pequeñas cosas

Hay un universo de pequeñas cosas
En el que los amargos trenzan flores
Pa' adornar fronteras
Hay una mirada que susurra a mis espaldas
Cuando los secretos o se dicen o se callan

Y yo te juro, vida mía, que puedo hacer
De este universo para ti uno bien
Y tú me juras, vida mía, que puede ser
Que existen los rincones
Las tardes que se ponen...
",0,
alejandrosanz,Deja Que Te Bese,"

Deja que se enteren
como yo te quiero y como tu me quieres
Deja que nos miren
Cuando te enamores no te quejes
Deja que mi alma brille

Dime que hago
Que hago contigo
No me des pena por mi vida
Te lo pido
De verdad no tengo miedo
Pero ahora es cuando quiero

Que me dejes que te mire
Y que te bese si es que puedo

Tu eres una necesidad y solo con un par de besos
Tu puedes derretir mi fuego
Puedes incendiar mi mar
Si no me das un beso ya
Tu boca se la lleva el viento
Y como le digo lo siento
A este cuerpo que quiere amar
Tu eres la casualidad mas hermosa
Que me trajo al cielo
Quien dijo que yo estoy despierto
Si no paro de soñar
Si no me das un beso ya
Tu boca se la lleva el viento
Y como le digo lo siento
A este cuerpo que quiere amar

Deja que te bese
Deja que te bese deja que lo intente
Deja que te invite
A que te enamores de esta noche
Una noche aquí entre miles

Me he enamorado nunca lo olvides
No ha sido fácil porque muero en tus perfiles
Me has atrapado, no te confíes
Deja que te bese, te prometa y deja que te olvide
",0,
carlosvives,La Tierra Del Olvido,"

Como la luna que alumbra
por la noche los caminos
como las hojas al viento
como el sol espanta al frío
como la tierra a la lluvia
como el mar espera al río
asi espero tu regreso
a la tierra del olvido

Como naufragan mis miedos
si navego tu mirada
como alertas mis sentidos
con tu voz enamorada
con tu sonrisa de niña
como me mueves el alma
como me quitas el sueño
como me robas la calma

Tu tienes la llave de mi corazon
yo te quiero
mas que mi vida porque sin tu amor
yo me muero

Tu tienes la llave de mi corazon
yo te quiero
mas que a mi vida porque sin tu amor
yo me muero 

",0,
anagabriel,A La Orilla De Un Palmar,"

A la orilla de un palmar 
yo vi de una joven bella 
su boquita de coral 
sus ojitos dos estrellas 

Al pasar le pregunte 
que quien estaba con ella 
y me respondió llorando 
sola vivo en el palmar 

Soy huerfanita ¡ah! 
no tengo padre ni madre 

ni un amigo ¡ah! 
que me venga a consolar 

Solita paso la vida 
a la orilla de un palmar 
y solita voy y vengo 
como las olas olas del mar 

Soy huerfanita ¡ah! 
no tengo...
",0,
marcoantoniosolis,Desde Que Te Perd,"

Que tal que no me hubieras traicionado 
y no me hubiera tocado llorar 
seguramente acabaría a tu lado 
muy lejos de saber lo que es amar. 

Que tal que todo hubiera sido lindo 
en medio de tu oscura falsedad 
mis martes no serian como domingos 
y no sabría de un beso de verdad. 

Todo es por algo 
todo tiene un porque 
tu arrepentida, y yo ya te olvide. 

Sin darte cuenta 
tu me hiciste un favor 
pues tus mentiras, fueron las puertas 
por donde entre al amor. 

No puedo odiarte 
si aprendí por ti 
por nada cambio lo que he ganado 
desde que te perdí.
",0,
anagabriel,Vamonos,"

Que no somos iguales 
Dice la gente
Que tu vida y mi vida
Se van a perder
Que yo soy un canalla
Y que tú eres decente
Que dos eres distintos 
No se pueden querer

Pero yo ya te quise 
Y no te olvido
Y morir en tus brazos
Es mi ilusión
Yo no entiendo esas cosas
De las clases  sociales
Solo se que me quieres
Y que te quiero yo

Vamonos...
Donde nadie nos juzgue
Donde nos diga que hacemos mal
Vamonos...
Alejados del mundo
Donde no haya justicia
Ni leyes ni nada
No más nuestro amor

Que no somos iguales...
Dice la gente
",0,
cafetacuba,Las Flores,"
ven y dime todas esas cosas
invitame a sentarme junto a ti
escuchare todos tus sueños en mi oido

Y dejame estrechar tus manos
y regalarte unas pocas de ilusiones
ay, ven y cuentame una historia que me haga sentir bien

Yo te escuchare
con todo el silencio del planeta
y mirare tus ojos
como si fueran los ultimos de este pais

Dejame ver como es que floreces
con cinco petalos te absorbere
cinco sentidos que te roban solo un poco de tu ser
y seis veces para vivirte
debajo de una misma luna
y otras nueve pasaran para sentir que nuevas flores naceran

Y que cada estrella fuese una flor
y asi regalarte
todo un racimo de estrellas
No dejes que amanezca
no dejes que la noche caiga
no dejes que el sol salga
solo dejame estar junto a ti
",0,
badbunny,Si Veo A Tu Mama,"

Yeh, yeh

Todavía yo te quiero
Pero sé que es un error
Porque ya tú no me quieres
Y sin ti me va mejor

Y si veo a tu mamá
Yo le pregunto por ti
Pa' ver si ya tienes a alguien
Alguien que te haga feliz

Y es que 'toy arrebata'o
Pensando en to'a las veces que te lo metí
Pensando en to'a las veces estuve pa ti
(Pa' ti, pa' ti, pa' ti)

No sé por qué diablo me engaño
Diciendo que te olvidé cuando te extraño
Solo comparto memes, ya yo no escribo nada
Y no he borra'o tu foto, solo la puse privada

Maldito año nuevo, y lo que me trajo, ey
Me botaron del trabajo
Por estar mirando pa' abajo
Pensando en ti siempre cabizbajo
Me veo gordito nada que rebajo
No sé por qué la vida me ultrajo
Pensando de coger un atajo
Conocí a alguien, pero no sé, nunca encajo

Al menos que sea' tú
Baby, te quiero aunque diga lo contrario
Llevo seis meses solitario pero

Hoy salí con los muchachos a beber
Y dije que de ti no iba a hablar
Son las cinco, ya va amanecer
Si no prenden la voy a llamar
",0,
antonioaguilar,Las Mananitas,"

Estas son las mañanitas que cantaba el rey David
A las muchachas bonitas se las cantamos aquí

Despierta mi bien despierta mira que ya amaneció
Ya los pajarillos cantan la luna ya se metió

Que linda está la mañana en que vengo a saludarte
Venimos todos con gusto y placer a felicitarte

Ya viene amaneciendo ya la luz del día nos dio
Levantate de mañana mira que ya amaneció
",0,
aventura,Un Beso,"

Hay una mujer
Que domina mis sentidos con solo tocar mi piel
Y como a mi tambien a otro hombre esto le puede suceder

Que solo por un beso
Se puede enamorar
Sin necesidad de hablarse
Solo los labios rozarse
Cupido los flechara
Y solo por un beso
Con ella soy feliz
Tan solo con un besito
Me llevo al infinito
Y ni siquiera la conozco bien

Un beso significa amistad, sexo y amor
En cualquier parte del mundo
No importa la religion
Por un beso de su boca
Voy al cielo y hablo con Dios
Alcanzo las estrellas de emocion
Su boca es tan sensual
Me cautiva y me excita
No me canso de besar
Su lengua es mi debilidad
Ella me sabe los truquitos
Digame si hay alguien mas

",0,
juangabriel,Enamorado Y Feliz,"

Enamorado de ti
Como yo te amo
No amé a nadie

Enamorado y feliz
Yo te necesito igual que al aire
Tenemos tres años
Que nos conocemos
Y a mi me parece que
Tenemos solo un mes

Oh!
Ay amor!
Jamás olvidare
Como te conocí
Jamás olvidare
Yo guardo en mi corazón
Aquel siglo, el año, el mes y el día

Bendigo la hora, yo
Bendigo el minuto aquel
Bendigo el instante en que
Yo te conocí, oh!

Ay amor!
Jamás olvidare
Como te conocí

Bendigo la hora, yo
Bendigo el minuto aquel
Bendigo el instante en que
Yo te conocí, oh!

Ay! Amor!
A ti te comparo con mi vida
Jamás olvidare
A ti te comparo con mi tierra
Como te conocí
A ti te comparo con mis ojos
Jamás olvidare
A ti te comparo con mi boca
Ay! Amor!
A ti te comparo con mi cielo
Jamás olvidare
A ti te comparo con mi mundo
Como te conocí
",0,
